=== Julia Set Fractal Benchmark (DIM=768) ===
Serial time: 0.978925 s

Threads	1D_Row_t	1D_Col_t	2D_RowBlk_t	2D_ColBlk_t	OMP_For_t	1D_Row_S	1D_Col_S	2D_RowBlk_S	2D_ColBlk_S	OMP_For_S
1	0.980181	1.10841	0.927079	0.940611	0.941217	0.998718	0.883182	1.05592	1.04073	1.04006
2	0.566907	0.611619	0.79366	0.645699	0.509947	1.72678	1.60055	1.23343	1.51607	1.91966
4	0.640463	0.55041	0.512055	0.59643	0.650533	1.52847	1.77854	1.91176	1.64131	1.5048
6	0.696539	0.871819	0.604437	0.555196	0.558459	1.40541	1.12285	1.61956	1.76321	1.75291
8	0.582408	0.551372	0.624005	0.601109	0.721243	1.68082	1.77543	1.56878	1.62853	1.35727
10	0.708402	0.512873	0.645684	0.514788	0.521362	1.38188	1.90871	1.5161	1.90161	1.87763
12	0.563079	0.604256	0.751454	0.830218	0.529259	1.73852	1.62005	1.30271	1.17912	1.84961
14	0.721694	0.518719	0.549436	0.563955	0.5795	1.35643	1.8872	1.78169	1.73582	1.68926
16	0.610555	0.554944	0.830315	0.564194	0.58206	1.60334	1.76401	1.17898	1.73509	1.68183

Images saved to output/
